unique_id;timestamp;advertisement;device_os;software_ver;game_id;location;ad_start_count;ad_view_count;ad_click_count;ad_install_count;dat1;count1;count2;internet_type;device`;install_label
5c36658fb58fad351175f0b6;2019-01-09T21:20:15.943+00:00;59687f0d896a6b0e5ce6ea15;ios;11.4.1;1373094;US;25;24;0;2;2019-01-08T18:49:48.129+00:00;1;8;cellular;iPhone8,2;0
5c38d5ab1c16172870186b5a;2019-01-11T17:43:07.609+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1;2739989;US;10;9;2;0;2019-01-09T21:20:22.855+00:00;1;4;cellular;iPhone9,1;0
5c38815de8f4e50e256e4f9c;2019-01-11T11:43:25.168+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1.2;1373094;US;27;26;0;0;2019-01-09T10:42:08.446+00:00;1;2;cellular;iPhone7,1;0
5c409ace532d5806d2c6a5e6;2019-01-17T15:10:06.420+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1.2;1217749;US;15;14;2;0;2019-01-16T19:58:11.636+00:00;3;14;wifi;iPhone7,2;0
5c3904b92d798c41e7f3088a;2019-01-11T21:03:53.145+00:00;59687f0d896a6b0e5ce6ea15;ios;12.0.1;1373094;US;20;18;0;0;2019-01-11T21:03:05.103+00:00;13;18;cellular;iPhone8,1;0
5c3a3d86e183c9e614dc7d5f;2019-01-12T19:18:30.835+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1.1;1541862;US;26;4;1;0;2019-01-12T18:37:04.517+00:00;7;20;wifi;iPad4,1;0
5c3d438b06e10d595ef44459;2019-01-15T02:20:59.538+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1.2;1373094;US;38;35;0;0;2019-01-15T02:17:05.600+00:00;9;34;wifi;iPhone8,4;0
5c3403a3ed1f6142bb8a3b4d;2019-01-08T01:57:55.885+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1.2;1373094;US;53;52;1;0;2019-01-08T01:41:40.606+00:00;2;53;wifi;iPhone8,1;0
5c3905a9a75681442eca6bc7;2019-01-11T21:07:53.536+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1.2;106381;US;114;110;0;0;2019-01-11T21:06:54.858+00:00;5;11;wifi;iPhone10,2;0
5c415a700fe1c8656437d9e4;2019-01-18T04:47:44.051+00:00;59687f0d896a6b0e5ce6ea15;ios;11.4.1;106381;US;47;46;0;0;2019-01-18T04:46:16.180+00:00;2;17;cellular;iPhone7,2;0
5c3a7594e6c52f02a77c3239;2019-01-12T23:17:40.351+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1.2;2739989;US;60;59;6;0;2019-01-12T09:34:47.373+00:00;2;3;cellular;iPhone8,2;0
5c3e4dd0d52410dcf543d594;2019-01-15T21:17:04.420+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1;117356;US;35;33;2;0;2019-01-15T21:16:46.840+00:00;5;8;cellular;iPhone10,2;0
5c3816348ebd487ad620322f;2019-01-11T04:06:12.402+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1.1;1541862;US;8;2;0;0;2019-01-11T04:02:18.803+00:00;2;4;wifi;iPad7,6;0
5c3aadb384635f1f39b4c98b;2019-01-13T03:17:06.688+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1.2;106381;US;219;216;16;0;2019-01-13T03:16:20.551+00:00;9;53;wifi;iPhone6,1;0
5c398343a2c15f7d8702a141;2019-01-12T06:03:47.467+00:00;59687f0d896a6b0e5ce6ea15;ios;11.4.1;50259;US;73;70;0;0;2019-01-09T06:44:02.986+00:00;1;6;wifi;iPhone7,2;0
5c4079540c32231b78e5b6fe;2019-01-17T12:47:16.178+00:00;59687f0d896a6b0e5ce6ea15;ios;12.0.1;2739989;US;299;292;15;3;2019-01-17T12:18:31.327+00:00;18;94;cellular;iPhone8,2;0
5c38f2040fe19f3a3ebd3860;2019-01-11T19:44:04.331+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1.2;1373094;US;90;84;2;0;2019-01-11T19:38:30.498+00:00;3;24;wifi;iPhone10,2;0
5c39a18e4b2c348951a1d12d;2019-01-12T08:13:02.411+00:00;59687f0d896a6b0e5ce6ea15;ios;12.1.2;2626213;US;23;20;0;0;2019-01-12T08:10:31.052+00:00;2;22;cellular;iPhone8,4;0
